update_time,lr,loss/loss,loss/actor_loss,loss/critic_loss,loss/entropy_loss,value/logprob,value/old_action_logprob,value/value,value/return,value/advantage,value/reward,grad/grad_clipped
2708,0.001,-0.024234174,-7.792562e-05,0.0038246973,3.283262,-3.4585047,-3.4577014,0.5685456,0.5725178,-4.4703484e-08,0.074722245,0.03910421
2729,0.001,-0.024128314,-0.0002458915,0.0041776616,3.238892,-3.1074822,-3.1073427,0.5720744,0.58183855,-1.1175871e-08,0.07414667,0.039932698
2750,0.001,-0.02484609,-0.0008144751,0.0046457206,3.2643547,-3.1682074,-3.1688817,0.5771628,0.5760869,2.2351742e-08,0.07448502,0.03016581
2771,0.001,-0.026355451,-0.0015802863,0.0040400256,3.2734494,-3.1956584,-3.1963167,0.56163955,0.56926197,1.6298145e-08,0.073346555,0.050190687
2792,0.001,-0.025124963,-0.0023158863,0.003597958,3.1330717,-3.0813293,-3.082149,0.5616573,0.5601537,-1.3969839e-08,0.0725286,0.04580843
2813,0.001,-0.023565255,-0.00034344662,0.0030506104,3.185409,-3.1692228,-3.1694074,0.5726683,0.57663655,3.7252903e-09,0.07360679,0.028263107
2834,0.001,-0.023919988,-0.00041826488,0.0036793042,3.198365,-3.4594164,-3.458188,0.5631463,0.5666197,-8.381903e-09,0.07267769,0.04996378
2855,0.001,-0.026180545,-0.0010951068,0.0015422825,3.242426,-3.337112,-3.3367348,0.56410456,0.5668159,1.1175871e-08,0.0734472,0.0689273
2876,0.001,-0.023215625,-0.00019829348,0.0027693838,3.1664805,-2.751115,-2.752618,0.57087266,0.560398,-1.8626451e-09,0.07321882,0.045544103
2897,0.001,-0.028028067,-0.005212874,0.004006844,3.2037156,-3.1638207,-3.164488,0.5796414,0.5738633,2.0489097e-08,0.074349545,0.116951436
2918,0.001,-0.02605127,-0.0034518521,0.0030853003,3.084749,-3.3822856,-3.378571,0.54205585,0.55746984,1.4901161e-08,0.07197238,0.10517204
2939,0.001,-0.023432225,-0.00015296414,0.0033221566,3.2126675,-2.9504569,-2.9524217,0.5883519,0.58484006,3.7252903e-09,0.07458573,0.02836887
2960,0.001,-0.023397261,-0.0012741499,0.003704992,3.1348543,-3.1245983,-3.124374,0.5702328,0.57640636,1.4901161e-08,0.073836006,0.06092695
2981,0.001,-0.02177741,-0.00043759122,0.005233717,3.1496818,-2.8991668,-2.9007378,0.6014456,0.60507697,-1.9557774e-08,0.07731065,0.04656675
3002,0.001,-0.023697685,-0.00056347996,0.0024785018,3.1899354,-3.056292,-3.0567575,0.5374686,0.5529542,-3.4458935e-08,0.07180056,0.061753113
